data;p_soja
13/03/2006;27.66
14/03/2006;27.45
15/03/2006;27.58
16/03/2006;26.97
17/03/2006;26.96
20/03/2006;27.36
21/03/2006;27.55
22/03/2006;27.84
23/03/2006;27.82
24/03/2006;27.91
27/03/2006;28.48
28/03/2006;28.7
29/03/2006;28.69
30/03/2006;28.33
31/03/2006;27.54
03/04/2006;26.96
04/04/2006;26.57
05/04/2006;26.6
06/04/2006;26.79
07/04/2006;26.76
10/04/2006;26.74
11/04/2006;26.8
12/04/2006;26.74
13/04/2006;26.82
17/04/2006;27.28
18/04/2006;27.26
19/04/2006;27.1
20/04/2006;27.04
24/04/2006;27.33
25/04/2006;27.44
26/04/2006;27.32
27/04/2006;27.15
28/04/2006;27.67
02/05/2006;27.59
03/05/2006;27.58
04/05/2006;27.82
05/05/2006;27.76
08/05/2006;27.28
09/05/2006;27.86
10/05/2006;28.13
11/05/2006;28.36
12/05/2006;28.88
15/05/2006;28.83
16/05/2006;28.3
17/05/2006;29.03
18/05/2006;29.05
19/05/2006;28.61
22/05/2006;29.4
23/05/2006;29.23
24/05/2006;30.26
25/05/2006;29.63
26/05/2006;29.04
29/05/2006;28.74
30/05/2006;30.14
31/05/2006;29.5
01/06/2006;29.28
02/06/2006;29.97
05/06/2006;30.02
06/06/2006;29.84
09/06/2006;29.3
12/06/2006;30
13/06/2006;30.26
14/06/2006;29.88
16/06/2006;29.84
19/06/2006;28.94
20/06/2006;29.18
21/06/2006;29.19
22/06/2006;29.25
23/06/2006;29.19
26/06/2006;28.55
27/06/2006;28.76
28/06/2006;29.16
29/06/2006;29.04
30/06/2006;29.17
03/07/2006;29.39
04/07/2006;29.57
05/07/2006;29.46
06/07/2006;29.9
07/07/2006;29.49
10/07/2006;29.54
11/07/2006;30.08
12/07/2006;29.74
13/07/2006;29.76
14/07/2006;29.9
17/07/2006;29.42
18/07/2006;29.51
19/07/2006;29.35
20/07/2006;29.38
21/07/2006;29.35
24/07/2006;29.37
25/07/2006;29.95
26/07/2006;30.14
27/07/2006;29.5
28/07/2006;29.49
31/07/2006;29.3
01/08/2006;29.27
02/08/2006;29.83
03/08/2006;29.56
04/08/2006;29.76
07/08/2006;29.15
08/08/2006;29.14
09/08/2006;29.01
10/08/2006;29.05
11/08/2006;29.01
14/08/2006;29.03
15/08/2006;28.95
16/08/2006;28.56
17/08/2006;28.57
18/08/2006;28.49
21/08/2006;28.49
22/08/2006;28.37
23/08/2006;28.82
24/08/2006;28.89
25/08/2006;28.66
28/08/2006;28.37
29/08/2006;28.5
30/08/2006;28.71
31/08/2006;28.8
01/09/2006;28.65
04/09/2006;28.58
05/09/2006;28.69
06/09/2006;28.89
08/09/2006;29.03
11/09/2006;28.84
12/09/2006;28.79
13/09/2006;29.08
14/09/2006;28.82
15/09/2006;28.87
18/09/2006;28.84
19/09/2006;28.86
20/09/2006;29.33
21/09/2006;29.54
22/09/2006;29.58
25/09/2006;29.47
26/09/2006;29.38
27/09/2006;29.47
28/09/2006;29.65
29/09/2006;29.62
02/10/2006;29.66
03/10/2006;30.04
04/10/2006;30.55
05/10/2006;30.66
06/10/2006;30.37
09/10/2006;31
10/10/2006;30.98
11/10/2006;31.09
13/10/2006;30.99
16/10/2006;31.05
17/10/2006;31.86
18/10/2006;32.94
19/10/2006;33.39
20/10/2006;33.69
23/10/2006;33.6
24/10/2006;33.7
25/10/2006;33.64
26/10/2006;33.89
27/10/2006;33.78
30/10/2006;34.08
31/10/2006;33.69
01/11/2006;33.56
03/11/2006;33.75
06/11/2006;33.8
07/11/2006;33.52
08/11/2006;34.06
09/11/2006;34.24
10/11/2006;34.17
13/11/2006;34.06
14/11/2006;34.18
16/11/2006;34.38
17/11/2006;34.5
20/11/2006;34.69
21/11/2006;35.08
22/11/2006;35
23/11/2006;35.04
24/11/2006;35.04
27/11/2006;34.73
28/11/2006;34.71
29/11/2006;34.5
30/11/2006;34.42
01/12/2006;34.35
04/12/2006;33.67
05/12/2006;33.4
06/12/2006;33.63
07/12/2006;32.83
08/12/2006;33.06
11/12/2006;33.14
12/12/2006;33.12
13/12/2006;32.87
14/12/2006;33.25
15/12/2006;33.33
18/12/2006;33.38
19/12/2006;33
20/12/2006;33.17
21/12/2006;33.2
22/12/2006;33
26/12/2006;33.5
27/12/2006;33.57
28/12/2006;33.5
02/01/2007;34
03/01/2007;33.5
04/01/2007;33.67
05/01/2007;33.67
08/01/2007;33.78
09/01/2007;33.58
10/01/2007;33.16
11/01/2007;33.3
12/01/2007;33.2
15/01/2007;33.5
16/01/2007;33.82
17/01/2007;34.1
18/01/2007;34.1
19/01/2007;34.1
22/01/2007;33.6
23/01/2007;33.91
24/01/2007;33.59
25/01/2007;33.51
26/01/2007;33.46
29/01/2007;33.64
30/01/2007;33.64
31/01/2007;34.05
01/02/2007;33.77
02/02/2007;33.72
05/02/2007;34.01
06/02/2007;33.94
07/02/2007;34.05
08/02/2007;34.18
09/02/2007;34.33
12/02/2007;34.48
13/02/2007;34.54
14/02/2007;34.73
15/02/2007;34.82
16/02/2007;35.01
21/02/2007;35.01
22/02/2007;35.59
23/02/2007;35.76
26/02/2007;35.82
27/02/2007;35.44
28/02/2007;35.57
01/03/2007;35
02/03/2007;34.73
05/03/2007;34.34
06/03/2007;34.33
07/03/2007;34.67
08/03/2007;34.89
09/03/2007;34.62
12/03/2007;34.56
13/03/2007;34.61
14/03/2007;34.27
15/03/2007;34.04
16/03/2007;33.99
19/03/2007;33.84
20/03/2007;33.74
21/03/2007;33.77
22/03/2007;33.29
23/03/2007;33.29
26/03/2007;32.82
27/03/2007;33.07
28/03/2007;33.35
29/03/2007;33.54
30/03/2007;33.37
02/04/2007;33.43
03/04/2007;33.07
04/04/2007;32.91
05/04/2007;32.81
09/04/2007;32.23
10/04/2007;31.69
11/04/2007;31.81
12/04/2007;31.75
13/04/2007;31.65
16/04/2007;31.75
17/04/2007;31.5
18/04/2007;31.32
19/04/2007;31.71
20/04/2007;31.73
23/04/2007;31.66
24/04/2007;31.42
25/04/2007;31.67
26/04/2007;31.56
27/04/2007;31.63
30/04/2007;31.82
02/05/2007;32.17
03/05/2007;32.3
04/05/2007;32.18
07/05/2007;31.91
08/05/2007;31.75
09/05/2007;31.83
10/05/2007;31.82
11/05/2007;32.11
14/05/2007;32.22
15/05/2007;32.03
16/05/2007;32.04
17/05/2007;32.01
18/05/2007;31.99
21/05/2007;31.92
22/05/2007;32.06
23/05/2007;32.24
24/05/2007;32.45
25/05/2007;32.44
28/05/2007;32.42
29/05/2007;32.07
30/05/2007;32.31
31/05/2007;32.45
01/06/2007;32.22
04/06/2007;32.28
05/06/2007;32.69
06/06/2007;32.99
08/06/2007;32.92
11/06/2007;33.19
12/06/2007;33.02
13/06/2007;33.12
14/06/2007;33.21
15/06/2007;33.26
18/06/2007;33.36
19/06/2007;33.12
20/06/2007;33.44
21/06/2007;33.19
22/06/2007;32.81
25/06/2007;32.3
26/06/2007;32.59
27/06/2007;32.81
28/06/2007;32.73
29/06/2007;33.61
02/07/2007;34.13
03/07/2007;33.98
04/07/2007;33.78
05/07/2007;34.05
06/07/2007;34.11
09/07/2007;34.13
10/07/2007;34.53
11/07/2007;34.58
12/07/2007;34.83
13/07/2007;34.85
16/07/2007;34.01
17/07/2007;33.02
18/07/2007;32.72
19/07/2007;32.47
20/07/2007;32.96
23/07/2007;32.15
24/07/2007;32.24
25/07/2007;32.54
26/07/2007;33.5
27/07/2007;33.73
30/07/2007;33.82
31/07/2007;34.21
01/08/2007;34.48
02/08/2007;34.87
03/08/2007;35.23
06/08/2007;35.1
07/08/2007;35.49
08/08/2007;36.05
09/08/2007;36.61
10/08/2007;36.73
13/08/2007;37.41
14/08/2007;37.52
15/08/2007;37.43
16/08/2007;36.83
17/08/2007;36.82
20/08/2007;37.11
21/08/2007;37.43
22/08/2007;37.49
23/08/2007;37.94
24/08/2007;38.01
27/08/2007;37.94
28/08/2007;38.49
29/08/2007;38.98
30/08/2007;39.74
31/08/2007;39.74
03/09/2007;39.63
04/09/2007;40.45
05/09/2007;40.9
06/09/2007;40.29
10/09/2007;40.43
11/09/2007;40.4
12/09/2007;41.27
13/09/2007;40.61
14/09/2007;40.86
17/09/2007;41.7
18/09/2007;41.43
19/09/2007;41.31
20/09/2007;41.59
21/09/2007;41.7
24/09/2007;41.93
25/09/2007;41.98
26/09/2007;42.54
27/09/2007;43.09
28/09/2007;42.62
01/10/2007;42.18
02/10/2007;41.24
03/10/2007;41.19
04/10/2007;42.07
05/10/2007;41.34
08/10/2007;40.97
09/10/2007;41.81
10/10/2007;42.81
11/10/2007;43.26
15/10/2007;43.15
16/10/2007;42.63
17/10/2007;42.78
18/10/2007;42.64
19/10/2007;42.41
22/10/2007;41.63
23/10/2007;42.13
24/10/2007;42.36
25/10/2007;42.04
26/10/2007;42.46
29/10/2007;42.81
30/10/2007;42.14
31/10/2007;42.29
01/11/2007;41.66
05/11/2007;41.92
06/11/2007;42.23
07/11/2007;42.16
08/11/2007;42.39
09/11/2007;42.36
12/11/2007;42.39
13/11/2007;42.63
14/11/2007;43.57
16/11/2007;43.42
19/11/2007;43
20/11/2007;42.71
21/11/2007;43.21
22/11/2007;43.04
23/11/2007;43.45
26/11/2007;43.33
27/11/2007;44
28/11/2007;43.5
29/11/2007;44.34
30/11/2007;43.89
03/12/2007;43.48
04/12/2007;43.28
05/12/2007;43.06
06/12/2007;42.87
07/12/2007;42.9
10/12/2007;42.68
11/12/2007;42.83
12/12/2007;43.6
13/12/2007;43.55
14/12/2007;44.11
17/12/2007;44
18/12/2007;44.41
19/12/2007;45.08
20/12/2007;45.32
21/12/2007;45.64
26/12/2007;45.36
27/12/2007;45.33
28/12/2007;45.03
02/01/2008;45.13
03/01/2008;46.28
04/01/2008;46.66
07/01/2008;47.05
08/01/2008;47.46
09/01/2008;48.21
10/01/2008;48.35
11/01/2008;48.58
14/01/2008;49.06
15/01/2008;48.93
16/01/2008;48.26
17/01/2008;49
18/01/2008;48.81
21/01/2008;48.83
22/01/2008;48.38
23/01/2008;47.92
24/01/2008;47.7
25/01/2008;48
28/01/2008;47.92
29/01/2008;48.12
30/01/2008;47.87
31/01/2008;47.89
01/02/2008;48.25
06/02/2008;49.46
07/02/2008;49.5
08/02/2008;50.38
11/02/2008;50.04
12/02/2008;49.9
13/02/2008;49.45
14/02/2008;49.91
15/02/2008;50.13
18/02/2008;50.13
19/02/2008;50.3
20/02/2008;50.04
21/02/2008;49.94
22/02/2008;49.86
25/02/2008;50.71
26/02/2008;50.35
27/02/2008;50.03
28/02/2008;50.32
29/02/2008;51.18
03/03/2008;52.6
04/03/2008;51.97
05/03/2008;51.84
06/03/2008;49.5
07/03/2008;48.39
10/03/2008;47.68
11/03/2008;48.95
12/03/2008;47.82
13/03/2008;49.21
14/03/2008;48.53
17/03/2008;46.45
18/03/2008;46.33
19/03/2008;44.99
20/03/2008;44.36
24/03/2008;45.69
25/03/2008;47.92
26/03/2008;49.27
27/03/2008;48.8
28/03/2008;46.92
31/03/2008;44
01/04/2008;44.98
02/04/2008;45.55
03/04/2008;45.81
04/04/2008;46
07/04/2008;46.11
08/04/2008;45.59
09/04/2008;46.14
10/04/2008;47.26
11/04/2008;46.86
14/04/2008;47.8
15/04/2008;48.43
16/04/2008;47.5
17/04/2008;46.86
18/04/2008;47.08
22/04/2008;47.42
23/04/2008;47.67
24/04/2008;47.52
25/04/2008;47.28
28/04/2008;46
29/04/2008;46.4
30/04/2008;46.91
02/05/2008;45.53
05/05/2008;45.29
06/05/2008;45.76
07/05/2008;46.05
08/05/2008;46.6
09/05/2008;47.4
12/05/2008;46.94
13/05/2008;46.99
14/05/2008;47.28
15/05/2008;46.64
16/05/2008;47.36
19/05/2008;46.11
20/05/2008;46.35
21/05/2008;46.24
23/05/2008;47.1
26/05/2008;47.24
27/05/2008;47.36
28/05/2008;47.6
29/05/2008;46.57
30/05/2008;46.67
02/06/2008;47.2
03/06/2008;47.27
04/06/2008;47.68
05/06/2008;49.4
06/06/2008;50.52
09/06/2008;50.45
10/06/2008;50.11
11/06/2008;52.37
12/06/2008;53.19
13/06/2008;54.03
16/06/2008;53.38
17/06/2008;54.07
18/06/2008;55.12
19/06/2008;54.43
20/06/2008;54.91
23/06/2008;53.52
24/06/2008;53.19
25/06/2008;53.41
26/06/2008;54.62
27/06/2008;55.29
30/06/2008;55.26
01/07/2008;56.12
02/07/2008;56.1
03/07/2008;56.83
04/07/2008;57.02
07/07/2008;54.64
08/07/2008;53.98
09/07/2008;54.77
10/07/2008;55.66
11/07/2008;56.13
14/07/2008;55.07
15/07/2008;54.43
16/07/2008;54.71
17/07/2008;53.87
18/07/2008;52.92
21/07/2008;50.3
22/07/2008;50.04
23/07/2008;49.63
24/07/2008;49.42
25/07/2008;49.74
28/07/2008;49.85
29/07/2008;48.9
30/07/2008;48.82
31/07/2008;49.17
01/08/2008;48.18
04/08/2008;45.72
05/08/2008;45.16
06/08/2008;44.31
07/08/2008;45.45
08/08/2008;44.88
11/08/2008;44.85
12/08/2008;45.12
13/08/2008;46.51
14/08/2008;45.93
15/08/2008;45.35
18/08/2008;46.88
19/08/2008;47.46
20/08/2008;47.23
21/08/2008;48.42
22/08/2008;47.86
25/08/2008;48.9
26/08/2008;49.15
27/08/2008;49.04
28/08/2008;48.36
29/08/2008;48.85
01/09/2008;48.73
02/09/2008;47.76
03/09/2008;47.38
04/09/2008;47.7
05/09/2008;46.99
08/09/2008;46.61
09/09/2008;47.19
10/09/2008;47.75
11/09/2008;48.44
12/09/2008;48.28
15/09/2008;48.63
16/09/2008;47.47
17/09/2008;48.11
18/09/2008;48.78
19/09/2008;48.04
22/09/2008;48.91
23/09/2008;48.93
24/09/2008;49.68
25/09/2008;49.32
26/09/2008;49.14
29/09/2008;48.29
30/09/2008;46.97
01/10/2008;47.47
02/10/2008;46.84
03/10/2008;46.94
06/10/2008;46.55
07/10/2008;47.47
08/10/2008;49.17
09/10/2008;48.9
10/10/2008;48.3
13/10/2008;46.69
14/10/2008;45.24
15/10/2008;44.39
16/10/2008;43.9
17/10/2008;44.66
20/10/2008;44.91
21/10/2008;45.66
22/10/2008;47.83
23/10/2008;48.25
24/10/2008;47.44
27/10/2008;46.83
28/10/2008;46.33
29/10/2008;46.82
30/10/2008;46.32
31/10/2008;46.12
03/11/2008;47.12
04/11/2008;47.18
05/11/2008;46.16
06/11/2008;45.08
07/11/2008;46.3
10/11/2008;46.58
11/11/2008;46.5
12/11/2008;47.57
13/11/2008;48.28
14/11/2008;47.63
17/11/2008;48.32
18/11/2008;48.26
19/11/2008;49.3
20/11/2008;48.2
21/11/2008;48.32
24/11/2008;48.01
25/11/2008;47.02
26/11/2008;47.44
27/11/2008;46.5
28/11/2008;46.64
01/12/2008;46.16
02/12/2008;46.34
03/12/2008;46.28
04/12/2008;46.27
05/12/2008;46.17
08/12/2008;45.47
09/12/2008;45.93
10/12/2008;46.18
11/12/2008;45.86
12/12/2008;45.83
15/12/2008;46.53
16/12/2008;46.66
17/12/2008;46.53
18/12/2008;46.45
19/12/2008;46.78
22/12/2008;47.29
23/12/2008;47.77
26/12/2008;48.17
29/12/2008;48.67
30/12/2008;49.3
02/01/2009;49.67
05/01/2009;49.67
06/01/2009;50.09
07/01/2009;50.43
08/01/2009;49.95
09/01/2009;51.02
12/01/2009;50.4
13/01/2009;50.1
14/01/2009;50.93
15/01/2009;51.32
16/01/2009;51.98
19/01/2009;52.14
20/01/2009;52.13
21/01/2009;52.08
22/01/2009;51.9
23/01/2009;52.83
26/01/2009;52.81
27/01/2009;51.42
28/01/2009;49.82
29/01/2009;50.15
30/01/2009;50.53
02/02/2009;50.29
03/02/2009;49.95
04/02/2009;49.88
05/02/2009;50.28
06/02/2009;50.47
09/02/2009;51.18
10/02/2009;50.9
11/02/2009;51.02
12/02/2009;51
13/02/2009;50.71
16/02/2009;50.03
17/02/2009;48.42
18/02/2009;48.66
19/02/2009;47.75
20/02/2009;46.64
25/02/2009;46.36
26/02/2009;46.14
27/02/2009;46.57
02/03/2009;46.73
03/03/2009;47.27
04/03/2009;47.31
05/03/2009;46.65
06/03/2009;47.26
09/03/2009;47.25
10/03/2009;47.42
11/03/2009;47.19
12/03/2009;46.6
13/03/2009;46.75
16/03/2009;47.18
17/03/2009;47.59
18/03/2009;47.85
19/03/2009;47.87
20/03/2009;48.18
23/03/2009;49.3
24/03/2009;49.34
25/03/2009;49.01
26/03/2009;48.32
27/03/2009;47.41
30/03/2009;47.33
31/03/2009;48.82
01/04/2009;48.91
02/04/2009;48.91
03/04/2009;48.73
06/04/2009;48.93
07/04/2009;49.22
08/04/2009;49.45
09/04/2009;49.54
13/04/2009;49.43
14/04/2009;50.3
15/04/2009;50.64
16/04/2009;50.99
17/04/2009;51.9
20/04/2009;51.5
22/04/2009;51.62
23/04/2009;51.7
24/04/2009;51.18
27/04/2009;50.28
28/04/2009;49.19
29/04/2009;49.45
30/04/2009;51.34
04/05/2009;53.12
05/05/2009;53.19
06/05/2009;53.06
07/05/2009;52.7
08/05/2009;51.53
11/05/2009;51.2
12/05/2009;51.71
13/05/2009;53.06
14/05/2009;53.41
15/05/2009;53.51
18/05/2009;53.4
19/05/2009;53.4
20/05/2009;52.98
21/05/2009;52.88
22/05/2009;53.01
25/05/2009;52.96
26/05/2009;52.5
27/05/2009;52.87
28/05/2009;52.96
29/05/2009;52.17
01/06/2009;52.44
02/06/2009;52.07
03/06/2009;52
04/06/2009;52.78
05/06/2009;53.19
08/06/2009;53.72
09/06/2009;53.37
10/06/2009;53.44
12/06/2009;52.44
15/06/2009;51.19
16/06/2009;51.18
17/06/2009;52.25
18/06/2009;52.36
19/06/2009;51.81
22/06/2009;51.42
23/06/2009;51.93
24/06/2009;52.18
25/06/2009;52.63
26/06/2009;52.33
29/06/2009;52.53
30/06/2009;52.47
01/07/2009;53.27
02/07/2009;53.74
03/07/2009;53.25
06/07/2009;52.98
07/07/2009;50.98
08/07/2009;50.18
09/07/2009;49.93
10/07/2009;50.29
13/07/2009;50.03
14/07/2009;49.7
15/07/2009;49.66
16/07/2009;47.94
17/07/2009;47.67
20/07/2009;47.54
21/07/2009;47.22
22/07/2009;47.21
23/07/2009;47.69
24/07/2009;48.21
27/07/2009;48.27
28/07/2009;49.43
29/07/2009;49.89
30/07/2009;51.87
31/07/2009;51.56
03/08/2009;51.75
04/08/2009;51.55
05/08/2009;51.08
06/08/2009;50.97
07/08/2009;51.27
10/08/2009;50.58
11/08/2009;51.46
12/08/2009;51.2
13/08/2009;51.13
14/08/2009;50.28
17/08/2009;48.59
18/08/2009;47.86
19/08/2009;47.67
20/08/2009;48
21/08/2009;48.23
24/08/2009;49.4
25/08/2009;49.82
26/08/2009;50.02
27/08/2009;50.23
28/08/2009;50.43
31/08/2009;49.7
01/09/2009;49.21
02/09/2009;48.4
03/09/2009;48.5
04/09/2009;47.88
08/09/2009;48.67
09/09/2009;48.22
10/09/2009;47.21
11/09/2009;46.4
14/09/2009;46.3
15/09/2009;46.25
16/09/2009;47
17/09/2009;46.4
18/09/2009;46.5
21/09/2009;45.5
22/09/2009;45
23/09/2009;44.64
24/09/2009;44.8
25/09/2009;43.4
28/09/2009;44.1
29/09/2009;43.6
30/09/2009;43.62
01/10/2009;43.72
02/10/2009;43.25
05/10/2009;43.28
06/10/2009;43.83
07/10/2009;44.1
08/10/2009;44.17
09/10/2009;44.17
13/10/2009;44.5
14/10/2009;44.6
15/10/2009;45.08
16/10/2009;44.25
19/10/2009;44.5
20/10/2009;44
21/10/2009;44
22/10/2009;44.13
23/10/2009;44.5
26/10/2009;43.42
27/10/2009;44.13
28/10/2009;43.41
29/10/2009;43.17
30/10/2009;43
03/11/2009;42.67
04/11/2009;43.83
05/11/2009;44.25
06/11/2009;43.73
09/11/2009;43.67
10/11/2009;42.83
11/11/2009;42.2
12/11/2009;42.5
13/11/2009;41.25
16/11/2009;42.25
17/11/2009;41.25
18/11/2009;40.63
19/11/2009;41.57
20/11/2009;41.86
23/11/2009;41.1
24/11/2009;40.9
25/11/2009;40.92
26/11/2009;41.08
27/11/2009;40.83
30/11/2009;40.92
01/12/2009;41.17
02/12/2009;40.95
03/12/2009;40.43
04/12/2009;40.58
07/12/2009;41.17
08/12/2009;41.83
09/12/2009;42
10/12/2009;41.5
11/12/2009;41.38
14/12/2009;41.67
15/12/2009;40.5
16/12/2009;41.38
17/12/2009;41.5
18/12/2009;41.67
21/12/2009;41.33
22/12/2009;41.33
23/12/2009;41.33
28/12/2009;42
29/12/2009;42
30/12/2009;42
04/01/2010;42
05/01/2010;42
06/01/2010;41.5
07/01/2010;42
08/01/2010;42
11/01/2010;40.4
12/01/2010;41
13/01/2010;41
14/01/2010;40
15/01/2010;40
18/01/2010;40
19/01/2010;39.6
20/01/2010;39.33
21/01/2010;39.13
22/01/2010;39.22
25/01/2010;39.4
26/01/2010;39.07
27/01/2010;39
28/01/2010;38.88
29/01/2010;38.8
01/02/2010;38.12
02/02/2010;38.04
03/02/2010;37.78
04/02/2010;37.66
05/02/2010;37.65
08/02/2010;38.09
09/02/2010;37.77
10/02/2010;37.93
11/02/2010;38.29
12/02/2010;38.42
17/02/2010;38.15
18/02/2010;38.17
19/02/2010;38.34
22/02/2010;38.45
23/02/2010;39.18
24/02/2010;38.97
25/02/2010;38.6
26/02/2010;38.73
01/03/2010;38.27
02/03/2010;38.06
03/03/2010;38.32
04/03/2010;37.54
05/03/2010;37
08/03/2010;36.99
09/03/2010;37.11
10/03/2010;37.25
11/03/2010;36.75
12/03/2010;36.38
15/03/2010;36.16
16/03/2010;36.54
17/03/2010;36.56
18/03/2010;36.97
